2025-07-23 11:51:46, 2024-06-Bidul-292.pdf, None, 2024-06-Bidul-292_pages_1_2.txt, Text Extraction
2025-07-23 11:54:54, 2024-06-Bidul-292.pdf, None, 2024-06-Bidul-292_pages_1_2.txt, Text Extraction
2025-07-23 11:55:45, 2024-06-Bidul-292_pages_1_2.txt, None, 2024-06-Bidul-292_pages_1_2_corrected.txt, Post-processing
2025-07-23 11:55:45, 2024-03-Bidul-289.pdf, None, 2024-03-Bidul-289_pages_1_2.txt, Text Extraction
2025-07-23 11:56:18, 2024-03-Bidul-289_pages_1_2.txt, None, 2024-03-Bidul-289_pages_1_2_corrected.txt, Post-processing
2025-07-23 12:07:47, 2024-06-Bidul-292.pdf, None, 2024-06-Bidul-292_pages_1_2.txt, Text Extraction
2025-07-23 12:09:47, 2024-03-Bidul-289.pdf, None, 2024-03-Bidul-289_pages_1_2.txt, Text Extraction
2025-07-23 12:10:19, 2024-03-Bidul-289_pages_1_2.txt, None, 2024-03-Bidul-289_pages_1_2_corrected.txt, Post-processing
2025-07-23 12:11:03, 2024-06-Bidul-292_pages_1_2.txt, None, 2024-06-Bidul-292_pages_1_2_corrected.txt, Post-processing
2025-07-23 12:11:03, 2024-05-Bidul-291.pdf, None, 2024-05-Bidul-291_pages_1_2.txt, Text Extraction
2025-07-23 12:12:32, 2024-03-Bidul-289_pages_1_2.txt, None, 2024-03-Bidul-289_pages_1_2_corrected.txt, Post-processing
2025-07-23 12:21:00, 2024-03-Bidul-289.pdf, None, 2024-03-Bidul-289_pages_1_2.txt, Text Extraction
2025-07-23 12:21:35, 2024-03-Bidul-289_pages_1_2.txt, None, 2024-03-Bidul-289_pages_1_2_corrected.txt, Post-processing
2025-07-23 12:22:15, 2024-06-Bidul-292_pages_1_2.txt, None, 2024-06-Bidul-292_pages_1_2_corrected.txt, Post-processing
